6382257798;5;19/08/2023
122679503;7;14/08/2023
4007564149;4;14/08/2023
122794618;6;14/08/2023
91399218;7;14/08/2023
4007564149;6;13/08/2023
7455726065;5;13/08/2023
9678872620;7;13/08/2023
123185859;7;12/08/2023
4098384418;6;12/08/2023
4101421082;7;12/08/2023
4100022128;6;11/08/2023
4007564160;4;11/08/2023
4101403600;4;11/08/2023
10677032178;6;11/08/2023
4104157525;5;11/08/2023
289192627;4;10/08/2023
4098434454;7;09/08/2023
122921110;4;08/08/2023
4102846439;7;08/08/2023
7517364851;7;08/08/2023
6382257800;7;08/08/2023
319643669;5;07/08/2023
4007564149;6;07/08/2023
122679495;7;07/08/2023
7519818794;5;07/08/2023
7347581560;4;05/08/2023
123161622;6;05/08/2023
122578032;7;04/08/2023
122578038;7;04/08/2023
122909506;7;04/08/2023
3833983339;6;04/08/2023
9678896354;6;04/08/2023
10677032181;6;04/08/2023
7455726064;4;03/08/2023
